AoA,c_l_cvae,c_d_cvae,c_l_over_c_d_cvae,c_l_bird_0.0,c_d_bird_0.0,c_l_over_c_d_bird_0.0,c_l_bird_0.2,c_d_bird_0.2,c_l_over_c_d_bird_0.2,c_l_bird_0.4,c_d_bird_0.4,c_l_over_c_d_bird_0.4,c_l_bird_0.6,c_d_bird_0.6,c_l_over_c_d_bird_0.6,c_l_bird_0.8,c_d_bird_0.8,c_l_over_c_d_bird_0.8,c_l_bird_1.0,c_d_bird_1.0,c_l_over_c_d_bird_1.0
0.0,4.123418133658227e-5,0.045830654510993954,0.0008997074507563693,0.0,0.1425261917881497,0.0,0.0,0.11402095343051977,0.0,0.0,0.08551571507288983,0.0,0.0,0.057010476715259883,0.0,0.0,0.028505238357629935,0.0,0.0,0.0,NaN
1.0,0.01484514270213785,0.047045489169103186,0.3155486947702374,0.004685377382636835,0.1453203350663358,0.032241718824127776,0.005750576209302559,0.11629121788103496,0.049449789193758,0.006815775035968281,0.08726210069573413,0.07810693281076919,0.007880973862634005,0.05823298351043332,0.13533522391518904,0.008946172689299727,0.02920386632513249,0.3063352156765887,0.01001137151596545,0.00017474913983168042,57.28996163076095
2.0,0.029852863365695766,0.0511106122038001,0.5840834628757624,0.009272846631140752,0.1535942750448651,0.06037234544342321,0.011495562083426381,0.12301780195779476,0.09344632972202109,0.013718277535712009,0.09244132887072443,0.14839983050110067,0.01594099298799764,0.06186485578365412,0.2576744548430606,0.01816370844028327,0.03128838269658378,0.5805256416230958,0.020386423892568895,0.0007119096095134637,28.636253282915327
3.0,0.04491970346131962,0.05738349723831978,0.7827982891102524,0.013675241621217228,0.1670350363393935,0.08187049807581034,0.01723472352388136,0.13395791142233698,0.12865775034028734,0.020794205426545486,0.1008807865052805,0.2061265196961667,0.024353687329209617,0.06780366158822401,0.35917953040812345,0.02791316923187375,0.03472653667116751,0.8037993968759138,0.03147265113453788,0.0016494117541110275,19.081136687728094
4.0,0.06024543319426404,0.06626246213533438,0.9091940029517593,0.01782486071037017,0.18516024168051687,0.09626721454126162,0.02297727742797129,0.14873777255584247,0.15448179055757102,0.028129694145572415,0.11231530343116804,0.2504529061154305,0.033282110863173536,0.07589283430649363,0.4385408868611172,0.038434527580774654,0.03947036518181919,0.9737565741722181,0.04358694429837577,0.0030478960571447777,14.300666256711967
5.0,0.0758818577803886,0.0775169847640861,0.9789062101851121,0.021678679957288324,0.2073692305590022,0.1045414495624516,0.028743820987190534,0.16689283194082397,0.17222921232100835,0.035808962017092744,0.1264164333226457,0.2832619231211776,0.04287410304699496,0.08594003470446747,0.49888393918423923,0.04993924407689716,0.04546363608628921,1.0984436876565113,0.05700438510679938,0.004987237468110973,11.430052302761323
6.0,0.09190083195477847,0.09076505809686591,1.0125133380810536,0.02521944909325309,0.23300120963926343,0.10823741701726908,0.03456578163948254,0.18791344102837448,0.183945232710965,0.043912114185711976,0.14282567241748556,0.3074525289638055,0.05325844673194142,0.09773790380659662,0.5449108754913449,0.06260477927817087,0.05265013519570767,1.1890715768432587,0.0719511118244003,0.007562366584818747,9.514364454222607
7.0,0.1081845396145618,0.106179470228145,1.0188837765163883,0.02845301268377967,0.26139118577372383,0.1088522269775781,0.04048269896402071,0.21128872650044664,0.1915989538795158,0.052512385244261744,0.16118626722716956,0.3257869677585676,0.06454207152450278,0.11108380795389237,0.5810214171924345,0.07657175780474382,0.06098134868061523,1.2556586474625555,0.08860144408498484,0.010878889407338114,8.144346427974597
8.0,0.1249120357552935,0.12352188699600873,1.0112542707457965,0.03140294008223829,0.2919161986465321,0.1075751884542134,0.04653811890482812,0.23654274866457584,0.19674295309225673,0.06167329772741793,0.18116929868261952,0.3404180408925685,0.07680847655000775,0.12579584870066324,0.6105803756114154,0.09194365537259759,0.07042239871870688,1.3056024368021681,0.1070788341951874,0.015048948736750603,7.115369722384214
9.0,0.1417094849588055,0.1423898222995028,0.9952220086400116,0.0341039045510374,0.32402741167909715,0.10525006009310238,0.05277507792606567,0.2632594582555234,0.20046792725236648,0.07144625130109393,0.20249150483194975,0.35283579605173104,0.09011742467612219,0.14172355140837603,0.6358676718201132,0.10878859805115046,0.08095559798480234,1.3438057498083475,0.1274597714261787,0.020187644561228648,6.313751514675039
10.0,0.15904919564873893,0.1632346826282284,0.9743590828119412,0.03659519721617959,0.3572669687669674,0.10243095616278297,0.05923206996988415,0.29109561056562827,0.20347977715909296,0.08186894272358872,0.22492425236428917,0.36398450528577553,0.10450581547729326,0.15875289416295016,0.6582923481698824,0.12714268823099784,0.09258153596161102,1.3733050214647293,0.14977956098470238,0.02641017776027196,5.671281819617712
11.0,0.1763647389156554,0.18593996922290257,0.9485036469175248,0.03891539820688459,0.39127132282841126,0.09945885613485303,0.06594010279383151,0.3197830061214296,0.20620264845716163,0.09296480738077846,0.24829468941444793,0.374413192646274,0.11998951196772537,0.1768063727074663,0.6786492484988261,0.14701421655467234,0.1053180560004846,1.3959070470688888,0.17403892114161923,0.033829739293502956,5.14455401597031
12.0,0.19398724690843866,0.21014738538873443,0.9231009300905532,0.04109872601667916,0.4257644777497595,0.09652925071131624,0.07292108688626348,0.3491227945886939,0.2088694522859006,0.10474344775584778,0.27248111142762815,0.38440627024404944,0.1365658086254321,0.1958394282665625,0.6973356174199435,0.1683881694950164,0.11919774510549676,1.4126791521599953,0.20021053036460068,0.04255606194443108,4.704630109478455
13.0,0.21183322149734019,0.23605393979956268,0.8973932893355276,0.0431731129630715,0.4605451573446739,0.09374349566933034,0.08018747616674099,0.3789750246532437,0.21159039765248724,0.11720183937041047,0.29740489196181347,0.3940817469319203,0.15421620257407992,0.2158347592703832,0.7145105037548113,0.19123056577774944,0.13426462657895302,1.4242810682923857,0.2282449289814189,0.05269449388752278,4.331475874284157
14.0,0.229295469266469,0.2628367787956338,0.8723873056013804,0.04515971969062197,0.4954715492305182,0.09114493003837724,0.08774286768335203,0.4092463271721017,0.21440111213619575,0.1303260156760821,0.32302110511368515,0.40345975421703395,0.17290916366881215,0.2367958830552686,0.7302034200841863,0.21549231166154226,0.15057066099685204,1.4311706559224544,0.2580754596542723,0.06434543893843554,4.010780933535846
15.0,0.24675109950607454,0.29176479515795567,0.8457192354975123,0.04707344172163412,0.5304463567068981,0.08874307670595405,0.0955831860709399,0.43987789032780833,0.2172948178861839,0.14409293042024565,0.34930942394871844,0.41250799589477927,0.19260267476955148,0.25874095756962856,0.7443841770498244,0.24111241911885725,0.1681724911905387,1.433720921965043,0.28962216346816305,0.0776040248114489,3.732050807568877
16.0,0.2643096949169951,0.322003648018121,0.8208282624863954,0.04892395262130635,0.5654038172843271,0.08652922234641326,0.10369810372590776,0.4708350324490102,0.22024296532594548,0.15847225483050917,0.3762662476136933,0.42117052973938324,0.21324640593511057,0.2816974627783766,0.7570050643405355,0.268020557039712,0.18712867794305973,1.4322794345892103,0.32279470814431344,0.09255989310774294,3.48741444384091
17.0,0.2814729304787602,0.3540008782198722,0.7951192999694638,0.05071691615670837,0.6002993966333237,0.08448603553684296,0.11207243509753922,0.5020989253913034,0.2232078768346242,0.17342795403837008,0.403898454149283,0.4293850403652949,0.23478347297920094,0.3056979829072628,0.7680242792129425,0.29613899192003185,0.20749751166524238,1.4271929795370055,0.35749451086086265,0.10929704042322204,3.2708526184841396
18.0,0.2982357981204939,0.3878573159127133,0.7689317331005596,0.05245512511263261,0.6351021848942214,0.08259320525148123,0.12068734908440537,0.5336604820650723,0.22615005821189746,0.18891957305617815,0.43221877923592317,0.43709246828689485,0.2571517970279509,0.33077707640677406,0.7774172255870528,0.3253840209997237,0.22933537357762493,1.4188130506155363,0.39361624497149644,0.12789367074847588,3.077683537175253
19.0,0.31403279404827267,0.4212869796851079,0.7454130063145966,0.0541394431186385,0.6697896309146532,0.08083051844906379,0.12952133609552047,0.5655161130724837,0.22903208786010198,0.2049032290724024,0.46124259523031447,0.44424177470011655,0.28028512204928435,0.35696907738814504,0.7851803974172263,0.3556670150261663,0.25269555954597545,1.4074921445600481,0.43104890800304824,0.14842204170380605,2.9042108776758235
20.0,0.3296515138893532,0.4572655803500522,0.7209191508291393,0.05576951467211167,0.7043440963770358,0.07917935985972717,0.13855093111173963,0.5976649373000722,0.23182041050900193,0.2213323475513676,0.4909857782231087,0.45079176906584867,0.3041137639909956,0.3843066191461452,0.7913310592117238,0.38689518043062354,0.27762746006918154,1.3935767749134533,0.46967659687025154,0.1709483009922181,2.7474774194546225
21.0,0.3450689786916476,0.49459805759231434,0.6976755638132326,0.05734426213711391,0.7387507149369616,0.07762329156190008,0.1477512296092291,0.630107035248747,0.2344859227780268,0.2381581970813443,0.5214633555605328,0.45671128094004354,0.32856516455345947,0.41281967587231855,0.7959048072482905,0.4189721320255747,0.30417599618410396,1.377400377681314,0.5093790994976899,0.19553231649588979,2.6050890646938014
22.0,0.35927410348056815,0.5326363318246553,0.6745204598601091,0.05886221247925942,0.772996125128064,0.07614813395022851,0.15709624567785926,0.6628424012947074,0.2370039173278724,0.25533027887645915,0.5526886774613509,0.46197848678438724,0.35356431207505895,0.4425349536279944,0.7989522842805173,0.4517983452736588,0.3323812297946378,1.359277554730762,0.5500323784722587,0.2222275059612812,2.475086853416296
23.0,0.3728600831403062,0.571418287470776,0.6525168887937899,0.06032170067049544,0.8070677542867039,0.07474180494772521,0.1665591596732282,0.6958703378752354,0.23935372814107658,0.272796618675961,0.5846729214637669,0.4665798751086279,0.3790340776786937,0.4734755050522984,0.8005357692935497,0.48527153668142653,0.3622780886408298,1.3395001019852875,0.5915089956841593,0.25108067222936137,2.355852365823753
24.0,0.3861124057491218,0.612323929033972,0.6305688663160184,0.06172099043006567,0.8409534317744782,0.073394064520112,0.1761124938885273,0.729189115199884,0.24151827038758203,0.2905039973469889,0.6174247986252899,0.470509117861483,0.40489550080545045,0.5056604820506958,0.8007260111832449,0.519287004263912,0.3938961654761016,1.3183347536177479,0.6336785077223737,0.2821318489015075,2.246036773904216
